province,CCAA,ID_INE,Date,Cases,Incidence,deceased,mortality,gdppc
Araba/alava,Pais Vasco,1,2020/3/13,310,93.500508,9,2.714530877,36.001
Araba/alava,Pais Vasco,1,2020/3/14,360,108.581235,13,3.920989042,36.001
Araba/alava,Pais Vasco,1,2020/3/15,409,123.360348,16,4.825832685,36.001
Araba/alava,Pais Vasco,1,2020/3/16,444,133.916857,25,7.54036357,36.001
Araba/alava,Pais Vasco,1,2020/3/17,474,142.965293,25,7.540363555,36.001
Araba/alava,Pais Vasco,1,2020/3/18,545,164.379926,27,8.143592664,36.001
Araba/alava,Pais Vasco,1,2020/3/19,621,187.302631,35,10.55650899,36.001
Araba/alava,Pais Vasco,1,2020/3/20,703,212.035023,48,14.47749801,36.001
Araba/alava,Pais Vasco,1,2020/3/21,801,241.593249,55,16.58879987,36.001
Araba/alava,Pais Vasco,1,2020/3/22,912,275.072463,60,18.09687257,36.001
Araba/alava,Pais Vasco,1,2020/3/23,1009,304.329074,70,21.11301802,36.001
Araba/alava,Pais Vasco,1,2020/3/24,1207,364.048753,81,24.43077796,36.001
Araba/alava,Pais Vasco,1,2020/3/25,1435,432.816869,94,28.35176703,36.001
Araba/alava,Pais Vasco,1,2020/3/26,1610,485.599414,103,31.06629791,36.001
Araba/alava,Pais Vasco,1,2020/3/27,1779,536.572271,109,32.87598513,36.001
Araba/alava,Pais Vasco,1,2020/3/28,1947,587.243515,115,34.68567243,36.001
Araba/alava,Pais Vasco,1,2020/3/29,2049,618.008198,123,37.09858875,36.001
Araba/alava,Pais Vasco,1,2020/3/30,2105,634.898612,133,40.11473415,36.001
Araba/alava,Pais Vasco,1,2020/3/31,2250,678.632721,149,44.94056686,36.001
Araba/alava,Pais Vasco,1,2020/4/1,2347,707.889332,167,50.36962865,36.001
Araba/alava,Pais Vasco,1,2020/4/2,2447,738.050786,176,53.08415952,36.001
Araba/alava,Pais Vasco,1,2020/4/3,2539,765.799324,184,55.49707586,36.001
Araba/alava,Pais Vasco,1,2020/4/4,2639,795.960778,194,58.51322127,36.001
Araba/alava,Pais Vasco,1,2020/4/5,2675,806.818902,201,60.6245231,36.001
Araba/alava,Pais Vasco,1,2020/4/6,2744,827.630305,212,63.94228304,36.001
Araba/alava,Pais Vasco,1,2020/4/7,2806,846.330407,229,69.06973029,36.001
Araba/alava,Pais Vasco,1,2020/4/8,2868,865.030508,237,71.48264658,36.001
Araba/alava,Pais Vasco,1,2020/4/9,2908,877.09509,245,73.89556295,36.001
Araba/alava,Pais Vasco,1,2020/4/10,2990,901.827483,254,76.61009387,36.001
Albacete,Castilla - La Mancha,2,2020/3/13,38,9.789601,0,0,19.073
Albacete,Castilla - La Mancha,2,2020/3/14,70,18.033475,0,0,19.073
Albacete,Castilla - La Mancha,2,2020/3/15,79,20.352065,1,0.257621076,19.073
Albacete,Castilla - La Mancha,2,2020/3/16,126,32.460256,5,1.288105397,19.073
Albacete,Castilla - La Mancha,2,2020/3/17,148,38.127919,5,1.288105372,19.073
Albacete,Castilla - La Mancha,2,2020/3/18,203.5,52.425889,0,0,19.073
Albacete,Castilla - La Mancha,2,2020/3/19,259,66.723859,20,5.152421544,19.073
Albacete,Castilla - La Mancha,2,2020/3/20,327,84.242092,28,7.213390141,19.073
Albacete,Castilla - La Mancha,2,2020/3/21,430,110.777062,32,8.243874381,19.073
Albacete,Castilla - La Mancha,2,2020/3/22,430,110.777062,32,8.243874381,19.073
Albacete,Castilla - La Mancha,2,2020/3/23,430,110.777062,32,8.243874381,19.073
Albacete,Castilla - La Mancha,2,2020/3/24,602.82,155.299137,53,13.65391702,19.073
Albacete,Castilla - La Mancha,2,2020/3/25,752,193.731049,60,15.45726455,19.073
Albacete,Castilla - La Mancha,2,2020/3/26,666,171.575636,66,17.00299095,19.073
Albacete,Castilla - La Mancha,2,2020/3/27,780,200.944439,83,21.38254928,19.073
Albacete,Castilla - La Mancha,2,2020/3/28,1114,286.989878,101,26.01972862,19.073
Albacete,Castilla - La Mancha,2,2020/3/29,1386,357.062811,122,31.42977124,19.073
Albacete,Castilla - La Mancha,2,2020/3/30,1537,395.963593,133,34.26360304,19.073
Albacete,Castilla - La Mancha,2,2020/3/31,1707,439.759176,148,38.12791918,19.073
Albacete,Castilla - La Mancha,2,2020/4/1,1933,497.981539,156,40.18888778,19.073
Albacete,Castilla - La Mancha,2,2020/4/2,2098,540.489016,170,43.7955828,19.073
Albacete,Castilla - La Mancha,2,2020/4/3,2386,614.683886,183,47.14465681,19.073
Albacete,Castilla - La Mancha,2,2020/4/4,2548,656.4185,194,49.97848862,19.073
Albacete,Castilla - La Mancha,2,2020/4/5,2653,683.468713,208,53.58518368,19.073
Albacete,Castilla - La Mancha,2,2020/4/6,2751,708.715579,241,62.08667922,19.073
Albacete,Castilla - La Mancha,2,2020/4/7,2832,729.582886,241,62.08667921,19.073
Albacete,Castilla - La Mancha,2,2020/4/8,3087,795.27626,263,67.75434285,19.073
Albacete,Castilla - La Mancha,2,2020/4/9,3212,827.478894,280,72.1339011,19.073
Albacete,Castilla - La Mancha,2,2020/4/10,3343,861.227255,299,77.02870154,19.073
Alicante/Alacant,Comunitat Valenciana,3,2020/3/13,39,2.09826,0,0,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/14,57,3.066688,0,0,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/15,151,8.124032,0,0,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/16,168.5,9.065559,0,0,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/17,186,10.007086,0,0,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/18,293,15.76385,11,0.591816894,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/19,338,18.184919,11,0.591816891,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/20,372,20.014171,17,0.914626094,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/21,372,20.014171,17,0.914626094,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/22,372,20.014171,40,2.152061398,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/23,603,32.442326,50,2.690076783,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/24,628,33.787364,61,3.281893637,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/25,857,46.107916,71,3.819909027,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/26,1039,55.899796,81,4.357924423,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/27,1093,58.805079,91,4.895939789,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/28,1322,71.12563,109,5.864367375,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/29,1734,93.291863,115,6.187176612,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/30,1839,98.941024,135,7.263207308,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/3/31,2021,108.732904,147,7.908825773,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/1,2173,116.910737,167,8.984856456,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/2,2320,124.819563,188,10.11468873,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/3,2445,131.544755,219,11.78253634,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/4,2559,137.67813,245,13.18137626,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/5,2627,141.336635,263,14.14980396,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/6,2673,143.811505,269,14.47261311,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/7,2714,146.017368,283,15.22583461,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/8,2803,150.805705,284,15.27963618,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/9,2850,153.334377,310,16.67847609,18.302
Alicante/Alacant,Comunitat Valenciana,3,2020/4/10,2962,159.360149,318,17.10888838,18.302
Almeria,Andalucia,4,2020/3/13,9,1.255545,0,0,19.078
Almeria,Andalucia,4,2020/3/14,14,1.953071,0,0,19.078
Almeria,Andalucia,4,2020/3/15,14,1.953071,0,0,19.078
